yamlfile,AAPROPID,DTCOPYRI,DTINSTRU,DTOBSERV,DTPI,DTPIAFFL,DTPROPID,DTSITE,DTSUBMIT,DTTELESC,DTTITLE,INSTRUME,OBSERVAT,PROCTYPE,PRODTYPE,PROPID,yamlfile,OPS_PREAPPLY_UPDATE,calchdr,dry_run,job_tag,jobid_type,source,test_resubmit,warn_unknown
./ops/overwrite.yaml,,,,,,,,,,,,,,,,,./ops/overwrite.yaml,,,,,,,1,
./ops/smoke.yaml,,,,,,,,,,,,,,,,,./ops/smoke.yaml,,,,TADASMOKE,,,2,
./ops/pipeline.yaml,,,,,,,,,Q20160126,,,,,,,,./ops/pipeline.yaml,,,,,,pipeline,,
./ops/debug.yaml,,,,,,,,,,,,,,,,,./ops/debug.yaml,,,,,seconds,dome,,1
./ops/dry-run.yaml,,,,,,,,,,,,,,,,,./ops/dry-run.yaml,,,1,,,,1,
./kp4m-mosaic3/kp4m-mosaic3.yaml,,,mosaic3,,,,,kp,,kp4m,,,,raw,image,,./kp4m-mosaic3/kp4m-mosaic3.yaml,,trustHdrPropid;DTCALDATfromDATEOBStus,,,,,,
./wiyn-bench/wiyn-bench.yaml,,,bench,,,,,kp,,kp35m,,,,raw,image,,./wiyn-bench/wiyn-bench.yaml,,trustHdrPropid;IMAGTYPEtoOBSTYPE;DTCALDATfromDATEOBStus,,,,,,
./ct4m-arcoiris_img/triplespec.yaml,,,triplespec,,,,tspec,ct,,ct4m,,triplespec,,raw,image,,./ct4m-arcoiris_img/triplespec.yaml,YES,fixTriplespec;DTCALDATfromDATEOBSchile,,,,,,
./ct4m-arcoiris_img/ct4m-arcoiris_img.yaml,,,triplespec,,,,2016A-0612,ct,,ct4m,,triplespec,,raw,image,,./ct4m-arcoiris_img/ct4m-arcoiris_img.yaml,YES,fixTriplespec;trustHdrPropid;DTCALDATfromDATEOBSchile,,,,,,
./ct4m-cosmos/ct4m-cosmos.yaml,,,cosmos,,,,,ct,,ct4m,,,,raw,image,,./ct4m-cosmos/ct4m-cosmos.yaml,,DTCALDATfromDATEOBSchile;trustSchedPropid,,,,,,
./wiyn-whirc/wiyn-whirc.yaml,,,whirc,,,,,kp,,WIYN,,,,raw,image,,./wiyn-whirc/wiyn-whirc.yaml,,PROPIDplusCentury;IMAGTYPEtoOBSTYPE;DTCALDATfromDATEOBStus,,,,,,
./soar-soi/soar-soi.yaml,soar,,soi,,,,,cp,,soar,,,,raw,image,,./soar-soi/soar-soi.yaml,,addTimeToDATEOBS;DTCALDATfromDATEOBSchile;INSTRUMEtoDT;trustSchedOrAAPropid,,,,,,
./kp4m-mosaic_1_1/kp4m-mosaic_1_1.yaml,noao,,mosaic,,,,,kp,,kp4m,,,,raw,image,,./kp4m-mosaic_1_1/kp4m-mosaic_1_1.yaml,,DTCALDATfromDATEOBStus;trustSchedOrAAPropid,,,,,,
